service_id,date,exception_type,holiday_name
SPRING2024-NORTHWKD-Weekday-9-S6561ad1d,20240704,2,Independence Day
SPRING2024-SOUTHSAT-Saturday-1,20240704,1,Independence Day
SPRING2024-SOUTHSAT-Saturday-1-6-S49,20240704,1,Independence Day
SPRING2024-SOUTHSAT-Saturday-1-S86,20240704,1,Independence Day
SPRING2024-SOUTHSAT-Saturday-1-S8f,20240704,1,Independence Day
SPRING2024-SOUTHSAT-Saturday-1-Sb4,20240704,1,Independence Day
SPRING2024-SOUTHSAT-Saturday-1-Sb6,20240704,1,Independence Day
SPRING2024-SOUTHSAT-Saturday-1-Sc0,20240704,1,Independence Day
SPRING2024-SOUTHSAT-Saturday-1-Sc5,20240704,1,Independence Day
SPRING2024-SOUTHWKD-Weekday-1,20240704,2,Independence Day
SPRING2024-SOUTHWKD-Weekday-1-S85407dc6,20240704,2,Independence Day
SPRING2024-SOUTHWKD-Weekday-1-S859962ef,20240704,2,Independence Day
SPRING2024-SOUTHWKD-Weekday-1-Sb0e4ed14,20240704,2,Independence Day
SPRING2024-SOUTHWKD-Weekday-1-Sb7371956,20240704,2,Independence Day
SPRING2024-SOUTHWKD-Weekday-1-Sc9a3b080,20240704,2,Independence Day
SPRING2024-SOUTHWKD-Weekday-1-Scbbf1ea5,20240704,2,Independence Day
BUS32024-hbs34nt1-Weekday-02,20240705,1,
SPRING2024-SOUTHSAT-Saturday-1-6-S49,20240705,1,
SPRING2024-SOUTHWKD-Weekday-1-5-S49,20240705,2,
SPRING2024-SOUTHWKD-Weekday-62ZachBryan,20240717,1,
