id,entity_id,vehicle_trip_trip_id,vehicle_vehicle_id,vehicle_trip_direction_id,vehicle_trip_start_time,vehicle_trip_start_date,vehicle_trip_schedule_relationship,vehicle_vehicle_label,vehicle_vehicle_license_plate,vehicle_vehicle_wheelchair_accessible,vehicle_position_latitude,vehicle_position_longitude,vehicle_position_point,vehicle_position_bearing,vehicle_position_odometer,vehicle_position_speed,vehicle_current_stop_sequence,vehicle_trip_route_id,vehicle_current_status,vehicle_timestamp,vehicle_congestion_level,vehicle_stop_id,vehicle_occupancy_percentage,vehicle_occupancy_status,feed_message_id
3833084,y1216,61885964,y1216,0,0 days 20:13:00,2024-06-01,SCHEDULED,1216,,,42.34768,-71.074615,0101000020E6100000A032FE7DC6C451C094BC3AC7802C4540,0.0,,,1,39,STOPPED_AT,2024-06-01 18:01:46-06:00,,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286556
3820799,y1200,61885934,y1200,0,0 days 19:33:00,2024-06-01,SCHEDULED,1200,,,42.32191,-71.112114,0101000020E61000001FDB32E02CC751C0B020CD5834294540,286.0,,,17,39,STOPPED_AT,2024-06-01 17:53:49-06:00,,61365,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286032
3845446,y1253,61885918,y1253,0,0 days 19:53:00,2024-06-01,SCHEDULED,1253,,,42.334877,-71.10304,0101000020E6100000828B153598C651C05F97E13FDD2A4540,239.0,,,10,39,STOPPED_AT,2024-06-01 18:11:49-06:00,,92391,40.0,FEW_SEATS_AVAILABLE,MBTA-vehicle-1717287112
3845469,y1216,61885964,y1216,0,0 days 20:13:00,2024-06-01,SCHEDULED,1216,,,42.34768,-71.074615,0101000020E6100000A032FE7DC6C451C094BC3AC7802C4540,0.0,,,1,39,STOPPED_AT,2024-06-01 18:08:18-06:00,,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717287112
3820864,y1253,61885918,y1253,0,0 days 19:53:00,2024-06-01,SCHEDULED,1253,,,42.348576,-71.07196,0101000020E6100000B1A71DFE9AC451C0D3156C239E2C4540,346.0,,,2,39,IN_TRANSIT_TO,2024-06-01 17:53:49-06:00,,173,20.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286032
3821103,y1222,61885889,y1222,0,0 days 19:15:00,2024-06-01,SCHEDULED,1222,,,42.3155,-71.11411,0101000020E6100000618907944DC751C0AAF1D24D62284540,180.0,,,20,39,IN_TRANSIT_TO,2024-06-01 17:53:45-06:00,,1164,20.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286032
3845773,y1253,61885918,y1253,0,0 days 19:53:00,2024-06-01,SCHEDULED,1253,,,42.334816,-71.103065,0101000020E61000002F17F19D98C651C0B9162D40DB2A4540,0.0,,,10,39,STOPPED_AT,2024-06-01 18:11:56-06:00,,92391,40.0,FEW_SEATS_AVAILABLE,MBTA-vehicle-1717287127
3833336,y1200,61885934,y1200,0,0 days 19:33:00,2024-06-01,SCHEDULED,1200,,,42.306103,-71.11507,0101000020E61000000CB08F4E5DC751C08F1A13622E274540,0.0,,,24,39,STOPPED_AT,2024-06-01 18:02:47-06:00,,2006,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286571
3833399,y1253,61885918,y1253,0,0 days 19:53:00,2024-06-01,SCHEDULED,1253,,,42.34409,-71.08338,0101000020E6100000FE48111956C551C0B97020240B2C4540,225.0,,,5,39,IN_TRANSIT_TO,2024-06-01 18:02:45-06:00,,31391,20.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286571
3833428,y1216,61885964,y1216,0,0 days 20:13:00,2024-06-01,SCHEDULED,1216,,,42.34768,-71.074615,0101000020E6100000A032FE7DC6C451C094BC3AC7802C4540,0.0,,,1,39,STOPPED_AT,2024-06-01 18:01:46-06:00,,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286571
