entity_id,vehicle_trip_trip_id,vehicle_vehicle_id,vehicle_trip_start_time,vehicle_trip_start_date,vehicle_vehicle_label,vehicle_position_point,vehicle_position_bearing,vehicle_current_stop_sequence,vehicle_current_status,vehicle_timestamp,vehicle_stop_id,vehicle_occupancy_percentage,vehicle_occupancy_status,feed_message_id,vehicle_trip_start_timestamp,time_traveled,distance_traveled
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.073814 42.34754),80.0,1,STOPPED_AT,2024-06-01 21:49:25-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292967,2024-06-01 21:49:00-04:00,0 days 00:00:25,92.14075246070931
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.10107 42.335693),237.0,9,STOPPED_AT,2024-06-01 22:02:56-04:00,91391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717293778,2024-06-01 21:49:00-04:00,0 days 00:13:56,4219.510719596992
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.07439 42.349144),216.0,1,STOPPED_AT,2024-06-01 21:43:25-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292607,2024-06-01 21:49:00-04:00,-1 days +23:54:25,832.0070946042053
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.073685 42.34758),128.0,2,IN_TRANSIT_TO,2024-06-01 21:49:39-04:00,173,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292983,2024-06-01 21:49:00-04:00,0 days 00:00:39,108.45271354714556
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.10272 42.3352),249.0,10,IN_TRANSIT_TO,2024-06-01 22:03:09-04:00,92391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717293794,2024-06-01 21:49:00-04:00,0 days 00:14:09,4410.587837048699
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.074326 42.349167),0.0,1,STOPPED_AT,2024-06-01 21:43:28-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292623,2024-06-01 21:49:00-04:00,-1 days +23:54:28,824.4812194446167
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.073105 42.34753),40.0,2,IN_TRANSIT_TO,2024-06-01 21:49:54-04:00,173,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292998,2024-06-01 21:49:00-04:00,0 days 00:00:54,205.70857330691354
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.1032 42.33502),241.0,10,STOPPED_AT,2024-06-01 22:03:25-04:00,92391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717293808,2024-06-01 21:49:00-04:00,0 days 00:14:25,4466.908245319636
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.074 42.34842),162.0,1,STOPPED_AT,2024-06-01 21:43:56-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292637,2024-06-01 21:49:00-04:00,-1 days +23:54:56,81.46993321517752
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.07194 42.348553),41.0,2,IN_TRANSIT_TO,2024-06-01 21:50:10-04:00,173,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717293013,2024-06-01 21:49:00-04:00,0 days 00:01:10,377.86136034793
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.104416 42.334553),245.0,11,IN_TRANSIT_TO,2024-06-01 22:03:37-04:00,1363,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717293823,2024-06-01 21:49:00-04:00,0 days 00:14:37,4611.522886688375
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.07181 42.348644),0.0,2,IN_TRANSIT_TO,2024-06-01 21:50:22-04:00,173,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717293028,2024-06-01 21:49:00-04:00,0 days 00:01:22,394.7012535843903
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.104706 42.33441),0.0,11,IN_TRANSIT_TO,2024-06-01 22:03:49-04:00,1363,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717293838,2024-06-01 21:49:00-04:00,0 days 00:14:49,4647.003153376654
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.07393 42.347733),243.0,1,STOPPED_AT,2024-06-01 21:44:07-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292652,2024-06-01 21:49:00-04:00,-1 days +23:55:07,81.48492558331255
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.07181 42.348644),0.0,2,IN_TRANSIT_TO,2024-06-01 21:50:22-04:00,173,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717293042,2024-06-01 21:49:00-04:00,0 days 00:01:22,394.7012535843903
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.104706 42.33441),0.0,11,IN_TRANSIT_TO,2024-06-01 22:03:49-04:00,1363,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717293854,2024-06-01 21:49:00-04:00,0 days 00:14:49,4647.003153376654
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.07449 42.347775),7.0,1,STOPPED_AT,2024-06-01 21:44:23-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292667,2024-06-01 21:49:00-04:00,-1 days +23:55:23,0.0
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.1047 42.334415),0.0,11,IN_TRANSIT_TO,2024-06-01 22:04:04-04:00,1363,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717293868,2024-06-01 21:49:00-04:00,0 days 00:15:04,4646.171928543407
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.07181 42.348644),0.0,2,IN_TRANSIT_TO,2024-06-01 21:50:22-04:00,173,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717293058,2024-06-01 21:49:00-04:00,0 days 00:01:22,394.7012535843903
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.07452 42.347637),174.0,1,STOPPED_AT,2024-06-01 21:44:35-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292681,2024-06-01 21:49:00-04:00,-1 days +23:55:35,0.0
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.1047 42.334415),0.0,11,IN_TRANSIT_TO,2024-06-01 22:04:04-04:00,1363,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717293883,2024-06-01 21:49:00-04:00,0 days 00:15:04,4646.171928543407
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.07449 42.347595),0.0,1,STOPPED_AT,2024-06-01 21:44:40-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292697,2024-06-01 21:49:00-04:00,-1 days +23:55:40,0.0
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.07193 42.348923),339.0,2,IN_TRANSIT_TO,2024-06-01 21:51:09-04:00,173,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717293073,2024-06-01 21:49:00-04:00,0 days 00:02:09,428.4059037301391
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.10478 42.334335),241.0,11,IN_TRANSIT_TO,2024-06-01 22:04:54-04:00,1363,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717293899,2024-06-01 21:49:00-04:00,0 days 00:15:54,4657.835421773067
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.07449 42.347595),0.0,1,STOPPED_AT,2024-06-01 21:44:40-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292712,2024-06-01 21:49:00-04:00,-1 days +23:55:40,0.0
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.07215 42.349434),0.0,2,IN_TRANSIT_TO,2024-06-01 21:51:26-04:00,173,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717293088,2024-06-01 21:49:00-04:00,0 days 00:02:26,490.2173632961641
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.10588 42.33371),235.0,11,IN_TRANSIT_TO,2024-06-01 22:05:09-04:00,1363,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717293913,2024-06-01 21:49:00-04:00,0 days 00:16:09,4797.711733210211
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.07449 42.347595),0.0,1,STOPPED_AT,2024-06-01 21:44:40-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292727,2024-06-01 21:49:00-04:00,-1 days +23:55:40,0.0
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.07215 42.349434),0.0,2,IN_TRANSIT_TO,2024-06-01 21:51:26-04:00,173,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717293103,2024-06-01 21:49:00-04:00,0 days 00:02:26,490.2173632961641
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.07449 42.347595),0.0,1,STOPPED_AT,2024-06-01 21:44:40-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292742,2024-06-01 21:49:00-04:00,-1 days +23:55:40,0.0
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.10597 42.333683),224.0,11,STOPPED_AT,2024-06-01 22:05:26-04:00,1363,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717293929,2024-06-01 21:49:00-04:00,0 days 00:16:26,4807.924837655866
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.07449 42.347595),0.0,1,STOPPED_AT,2024-06-01 21:44:40-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292757,2024-06-01 21:49:00-04:00,-1 days +23:55:40,0.0
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.072174 42.34944),0.0,2,IN_TRANSIT_TO,2024-06-01 21:51:50-04:00,173,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717293118,2024-06-01 21:49:00-04:00,0 days 00:02:50,491.97518946930023
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.10708 42.333416),273.0,11,STOPPED_AT,2024-06-01 22:05:37-04:00,1363,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717293943,2024-06-01 21:49:00-04:00,0 days 00:16:37,4944.358541854063
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.072174 42.34944),0.0,2,IN_TRANSIT_TO,2024-06-01 21:51:50-04:00,173,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717293133,2024-06-01 21:49:00-04:00,0 days 00:02:50,491.97518946930023
